Method,Training_Size,Training_Config,Attack_Traces,Key_Rank,Run,Seed
Standard CNN,3840,15-shot equivalent,100,209,7,48
Standard CNN,3840,15-shot equivalent,500,198,7,48
Standard CNN,3840,15-shot equivalent,1000,200,7,48
Standard CNN,3840,15-shot equivalent,2000,189,7,48
Standard CNN,3840,15-shot equivalent,5000,128,7,48
Standard CNN,3840,15-shot equivalent,10000,197,7,48
Standard CNN,5120,20-shot equivalent,100,109,7,48
Standard CNN,5120,20-shot equivalent,500,17,7,48
Standard CNN,5120,20-shot equivalent,1000,48,7,48
Standard CNN,5120,20-shot equivalent,2000,106,7,48
Standard CNN,5120,20-shot equivalent,5000,82,7,48
Standard CNN,5120,20-shot equivalent,10000,44,7,48
Standard CNN,50000,Full training set,100,239,7,48
Standard CNN,50000,Full training set,500,151,7,48
Standard CNN,50000,Full training set,1000,221,7,48
Standard CNN,50000,Full training set,2000,119,7,48
Standard CNN,50000,Full training set,5000,54,7,48
Standard CNN,50000,Full training set,10000,24,7,48
Standard CNN,1280,5-shot equivalent,100,216,8,49
Standard CNN,1280,5-shot equivalent,500,200,8,49
Standard CNN,1280,5-shot equivalent,1000,243,8,49
Standard CNN,1280,5-shot equivalent,2000,253,8,49
Standard CNN,1280,5-shot equivalent,5000,255,8,49
Standard CNN,1280,5-shot equivalent,10000,252,8,49
Standard CNN,2560,10-shot equivalent,100,44,8,49
Standard CNN,2560,10-shot equivalent,500,74,8,49
Standard CNN,2560,10-shot equivalent,1000,44,8,49
Standard CNN,2560,10-shot equivalent,2000,51,8,49
Standard CNN,2560,10-shot equivalent,5000,186,8,49
Standard CNN,2560,10-shot equivalent,10000,51,8,49
Standard CNN,3840,15-shot equivalent,100,215,8,49
Standard CNN,3840,15-shot equivalent,500,133,8,49
Standard CNN,3840,15-shot equivalent,1000,34,8,49
Standard CNN,3840,15-shot equivalent,2000,111,8,49
Standard CNN,3840,15-shot equivalent,5000,99,8,49
Standard CNN,3840,15-shot equivalent,10000,51,8,49
Standard CNN,5120,20-shot equivalent,100,218,8,49
Standard CNN,5120,20-shot equivalent,500,171,8,49
Standard CNN,5120,20-shot equivalent,1000,135,8,49
Standard CNN,5120,20-shot equivalent,2000,36,8,49
Standard CNN,5120,20-shot equivalent,5000,67,8,49
Standard CNN,5120,20-shot equivalent,10000,212,8,49
Standard CNN,50000,Full training set,100,244,8,49
Standard CNN,50000,Full training set,500,77,8,49
Standard CNN,50000,Full training set,1000,52,8,49
Standard CNN,50000,Full training set,2000,52,8,49
Standard CNN,50000,Full training set,5000,187,8,49
Standard CNN,50000,Full training set,10000,103,8,49
Standard CNN,1280,5-shot equivalent,100,62,9,50
Standard CNN,1280,5-shot equivalent,500,35,9,50
Standard CNN,1280,5-shot equivalent,1000,37,9,50
Standard CNN,1280,5-shot equivalent,2000,83,9,50
Standard CNN,1280,5-shot equivalent,5000,39,9,50
Standard CNN,1280,5-shot equivalent,10000,22,9,50
Standard CNN,2560,10-shot equivalent,100,71,9,50
Standard CNN,2560,10-shot equivalent,500,210,9,50
Standard CNN,2560,10-shot equivalent,1000,197,9,50
Standard CNN,2560,10-shot equivalent,2000,153,9,50
Standard CNN,2560,10-shot equivalent,5000,248,9,50
Standard CNN,2560,10-shot equivalent,10000,139,9,50
Standard CNN,3840,15-shot equivalent,100,226,9,50
Standard CNN,3840,15-shot equivalent,500,244,9,50
Standard CNN,3840,15-shot equivalent,1000,251,9,50
Standard CNN,3840,15-shot equivalent,2000,243,9,50
Standard CNN,3840,15-shot equivalent,5000,170,9,50
Standard CNN,3840,15-shot equivalent,10000,173,9,50
Standard CNN,5120,20-shot equivalent,100,243,9,50
Standard CNN,5120,20-shot equivalent,500,187,9,50
Standard CNN,5120,20-shot equivalent,1000,115,9,50
Standard CNN,5120,20-shot equivalent,2000,99,9,50
Standard CNN,5120,20-shot equivalent,5000,214,9,50
Standard CNN,5120,20-shot equivalent,10000,155,9,50
Standard CNN,50000,Full training set,100,227,9,50
Standard CNN,50000,Full training set,500,203,9,50
Standard CNN,50000,Full training set,1000,210,9,50
Standard CNN,50000,Full training set,2000,216,9,50
Standard CNN,50000,Full training set,5000,132,9,50
Standard CNN,50000,Full training set,10000,153,9,50
Standard CNN,1280,5-shot equivalent,100,100,10,51
Standard CNN,1280,5-shot equivalent,500,77,10,51
Standard CNN,1280,5-shot equivalent,1000,161,10,51
Standard CNN,1280,5-shot equivalent,2000,96,10,51
Standard CNN,1280,5-shot equivalent,5000,142,10,51
Standard CNN,1280,5-shot equivalent,10000,106,10,51
Standard CNN,2560,10-shot equivalent,100,243,10,51
Standard CNN,2560,10-shot equivalent,500,227,10,51
Standard CNN,2560,10-shot equivalent,1000,232,10,51
Standard CNN,2560,10-shot equivalent,2000,231,10,51
Standard CNN,2560,10-shot equivalent,5000,241,10,51
Standard CNN,2560,10-shot equivalent,10000,223,10,51
Standard CNN,3840,15-shot equivalent,100,223,10,51
Standard CNN,3840,15-shot equivalent,500,196,10,51
Standard CNN,3840,15-shot equivalent,1000,179,10,51
Standard CNN,3840,15-shot equivalent,2000,13,10,51
Standard CNN,3840,15-shot equivalent,5000,10,10,51
Standard CNN,3840,15-shot equivalent,10000,10,10,51
Standard CNN,5120,20-shot equivalent,100,26,10,51
Standard CNN,5120,20-shot equivalent,500,155,10,51
Standard CNN,5120,20-shot equivalent,1000,117,10,51
Standard CNN,5120,20-shot equivalent,2000,99,10,51
Standard CNN,5120,20-shot equivalent,5000,132,10,51
Standard CNN,5120,20-shot equivalent,10000,125,10,51
Standard CNN,50000,Full training set,100,236,10,51
Standard CNN,50000,Full training set,500,108,10,51
Standard CNN,50000,Full training set,1000,116,10,51
Standard CNN,50000,Full training set,2000,112,10,51
Standard CNN,50000,Full training set,5000,57,10,51
Standard CNN,50000,Full training set,10000,86,10,51
